url,기업명,공고명,스크랩 수,경력,학력,근무형태,급여,근무지역,필수사항,우대사항,접수 시작일,접수 마감일
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45516731&location=ts&searchword=CRA&searchType=search&paid_fl=n&search_uuid=49f9883e-f9ac-4e20-8594-fc275ea846e8,한방미인화장품,[한방미인화장품HBMIC] 각 부문별 인재 채용,9,신입·경력,학력무관,정규직 수습기간 3개월,면접 후 결정,"대구 달서구, 대구전체, 남구, 달성군, 동구, 북구, 서구,",X,X,2023.04.17 00:00,2023.05.17 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45516555&location=ts&searchword=CRA&searchType=search&paid_fl=n&search_uuid=49f9883e-f9ac-4e20-8594-fc275ea846e8,(주)시지바이오,맞춤형 임플란트 설계 및 개발 연구원,8,신입·경력 3년 ↓,대졸(4년제) 이상(예정자 가능),"정규직, 인턴직 근무형",면접 후 결정,경기 성남시 중원구,X,X,2023.04.17 17:00,2023.05.17 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45516334&location=ts&searchword=CRA&searchType=search&paid_fl=n&search_uuid=49f9883e-f9ac-4e20-8594-fc275ea846e8,(주)한국의약연구소,(주)한국의약연구소 임상모니터링요원(CRA) 경력사원 모집,5,경력 1년 ↑,학력무관(예정자 가능),정규직 수습기간 3개월,면접 후 결정,서울 서초구,X,X,2023.04.17 16:00,2023.04.23 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45516172&location=ts&searchword=CRA&searchType=search&paid_fl=n&search_uuid=49f9883e-f9ac-4e20-8594-fc275ea846e8,(주)한국의약연구소,(주)한국의약연구소 프로젝트 관리자(PM) 경력사원 모집,스크랩,경력 3년 ↑,학력무관,정규직 수습기간 3개월,면접 후 결정,경기 성남시 중원구,X,X,2023.04.17 16:00,2023.04.23 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45516157&location=ts&searchword=CRA&searchType=search&paid_fl=n&search_uuid=49f9883e-f9ac-4e20-8594-fc275ea846e8,아주대학교산학협력단,[아주대의료원 정신건강의학교실]의료인공지능 석사연구원 모집,1,무관(신입포함),석사졸업 이상,계약직,"연봉 3,600 만원 (주 40시간) 근무",경기 수원시 영통구,X,"전공:의/약학, 컴퓨터/시스템공학, 수학/통계학",2023.04.17 16:00,2023.05.17 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45516060&location=ts&searchword=CRA&searchType=search&paid_fl=n&search_uuid=49f9883e-f9ac-4e20-8594-fc275ea846e8,아주대학교산학협력단,[아주대의료원 정신건강의학교실]의료인공지능 Post Doc채용공고,2,무관(신입포함),박사졸업,계약직,"연봉 6,500 만원 (주 40시간) 근무",경기 수원시 영통구,X,"전공:의/약학, 컴퓨터/시스템공학, 수학/통계학",2023.04.17 16:00,2023.05.17 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45515808&location=ts&searchword=CRA&searchType=search&paid_fl=n&search_uuid=49f9883e-f9ac-4e20-8594-fc275ea846e8,(주)브이비젼,[서울/바이오 기업] 진단개발 연구원 경력직 채용,4,경력 2년 ↑,석사졸업 이상,정규직 수습기간 1년,면접 후 결정,서울 강동구,X,외국어능력:력영어가능자|활동/경험:해당직무 근무경험,2023.04.17 16:00,채용시 마감
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45515796&location=ts&searchword=CRA&searchType=search&paid_fl=n&search_uuid=49f9883e-f9ac-4e20-8594-fc275ea846e8,이오플로우(주),이오플로우(주) CS팀 우수인재 모집,스크랩,경력 1~3년,고교졸업 이상,정규직 수습기간 3개월,면접 후 결정,경기 성남시 분당구,X,자격증:CS매니저|외국어능력:력영어능통자,2023.04.17 16:00,채용시 마감
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45515661&location=ts&searchword=CRA&searchType=search&paid_fl=n&search_uuid=49f9883e-f9ac-4e20-8594-fc275ea846e8,리서리스테라퓨틱스(주),[항체 및 약효약리파트/경영지원파트] 각 부문별 채용,15,신입·경력,대졸(4년제) 이상 (각 부문별 상이),정규직 수습기간 3개월,면접 후 결정,"서울 강서구,",X,X,2023.04.18 00:00,2023.05.17 23:59
https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=45514323&location=ts&searchword=CRA&searchType=search&paid_fl=n&search_uuid=49f9883e-f9ac-4e20-8594-fc275ea846e8,뉴로핏(주),[의료AI기업] 임상시험 모니터 요원(CRA) 계약직,3,경력 1년 ↑,"대졸(2,3년제) 이상","계약직, 파트 근무",면접 후 결정,서울 강남구,활동/경험:해당직무 근무경험,X,2023.04.17 15:00,2023.05.03 23:59
